Url,RId,SId,LTId,TTId,LUId,Timestamp,Level,Server,Ip,Thread,Logger,Message,Exception,UserAgent
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.158Z,INFO,WebApi,10.100.173.174,310,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/user/v1,,kibo
,5894c33a-8308-4c93-bc51-3ee026f7c7c9,,13365,13365,310799,2025-07-09T09:11:06.167Z,INFO,UserPreferenceService,10.100.173.82,208,o9.Framework.Logging.Loggers.FrameworkLogger,Received GET on /api/userpref/userdefaultpref. RequestType: Regular,,
,5894c33a-8308-4c93-bc51-3ee026f7c7c9,,13365,13365,310799,2025-07-09T09:11:06.176Z,INFO,UserPreferenceService,10.100.173.82,190,o9.Framework.Logging.Loggers.FrameworkLogger,Completed GET on /api/userpref/userdefaultpref. in 8 ms,,
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.177Z,INFO,WebApi,10.100.173.174,310,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/crud/tenants/13365/users/get,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.189Z,INFO,WebApi,10.100.173.174,101,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: POST /api/crud/tenants/13365/users/get,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.221Z,INFO,WebApi,10.100.173.174,396,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/13365/users/get in : 46ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.236Z,INFO,WebApi,10.100.173.174,310,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/crud/tenants/details/13365,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.243Z,INFO,WebApi,10.100.173.174,270,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/details/13365,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.299Z,INFO,WebApi,10.100.173.174,274,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/crud/tenants/13365/ls/systemsettings/settingName/UIUsageStatsEnabled,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.304Z,INFO,WebApi,10.100.173.174,408,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13365/ls/systemsettings/settingName/UIUsageStatsEnabled,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.314Z,INFO,WebApi,10.100.173.174,108,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/13365/ls/systemsettings/settingName/UIUsageStatsEnabled in : 14ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.331Z,INFO,WebApi,10.100.173.174,361,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/details/13365 in : 93ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.332Z,INFO,WebApi,10.100.173.174,274,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/crud/tenants/13365/uiSettings,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.337Z,INFO,WebApi,10.100.173.174,396,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13365/uiSettings,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.404Z,INFO,WebApi,10.100.173.174,112,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/tenants/13365/uiSettings in : 73ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.407Z,INFO,WebApi,10.100.173.174,274,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/crud/envversion,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.413Z,INFO,WebApi,10.100.173.174,267,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/envversion,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.422Z,INFO,WebApi,10.100.173.174,340,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/crud/envversion in : 14ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.426Z,INFO,WebApi,10.100.173.174,118,o9.Framework.Common.Logging.FrameworkLogger,FrameworkHttpClient would send the request to URI - http://localhost:9876/api/tenants/13365/search/v3/wiki/page?query=Favorites,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.427Z,INFO,WebApi,10.100.173.174,407,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/tenants/13365/search/v3/wiki/page,,kibo
,7d73341c-0674-4d7f-9ff8-c4b2dc51a97b,,13365,13365,310799,2025-07-09T09:11:06.430Z,INFO,SearchService,10.100.160.4,143,o9.Framework.Logging.Loggers.FrameworkLogger,Received GET on /api/tenants/undefined/search/v3/wiki/pages. RequestType: Regular,,
,7d73341c-0674-4d7f-9ff8-c4b2dc51a97b,,13365,13365,310799,2025-07-09T09:11:06.430Z,INFO,SearchService,10.100.160.4,143,o9.Framework.Logging.Loggers.FrameworkLogger,Completed GET on /api/tenants/undefined/search/v3/wiki/pages. in 0 ms,,
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.438Z,INFO,WebApi,10.100.173.174,264,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/tenants/13365/search/v3/wiki/page in : 11ms with status : OK,,kibo
,4af5f876-df13-412e-88d8-bc43f0fc7f61,13366.424537,13365,13365,310799,2025-07-09T09:11:06.440Z,INFO,WebApi,10.100.173.174,409,o9.Framework.Common.Logging.FrameworkLogger,WebApi served the request: /api/user/v1 in : 268ms with status : OK,,kibo
,d72d9a3b-bf18-4aa8-a544-72e992811a06,13366.424537,13365,13365,310799,2025-07-09T09:11:06.877Z,INFO,WebApi,10.100.173.174,310,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13365/memberRelationshipTypes,,kibo
,4e11d776-0708-4bce-888c-08bc9fec1e30,13366.424537,13365,13365,310799,2025-07-09T09:11:06.881Z,INFO,WebApi,10.100.165.169,293,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: GET /api/crud/tenants/13365/dimensionswithtranslations/en-US,,kibo
